data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,municipio_nome,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year
2023-12-31,202401,5.0,5,5,5,0.6611738,0.8707767,0,2,420540720240120096,2025-01-08,Florianópolis,,1.3072768,574200,21.1278714285714,87.2496571428571,1,0,0,80.5881571428571,73.5784285714286,22.6524285714286,24.5067428571429,0.0,,,,,1603
2023-12-24,202352,2.0,2,2,2,0.25489354,0.34831068,0,2,420540720235220088,2024-12-31,Florianópolis,,0.5870592,574200,21.9722714285714,84.3577428571429,1,0,0,73.2551428571429,59.9866285714286,24.7129714285714,28.3177285714286,1.0,,,,,1603
2023-12-17,202351,5.0,5,5,5,0.8743791,0.8707767,0,2,420540720235120080,2024-12-23,Florianópolis,,2.3180313,574200,23.7339857142857,92.2748714285714,1,0,0,82.6838857142857,68.9389285714286,25.6018285714286,28.2997714285714,2.0,,,,,1603
2023-12-10,202350,4.0,4,4,4,0.8999804,0.69662136,0,1,420540720235020074,2024-12-17,Florianópolis,,2.9715755,574200,21.6777,90.0108428571429,1,0,0,80.3195571428571,67.8715571428571,23.5665857142857,26.2817857142857,1.0,,,,,1603
2023-12-03,202349,2.0,2,2,2,0.58380145,0.34831068,0,1,420540720234920067,2024-12-10,Florianópolis,,1.2190336,574200,22.1280428571429,92.2206142857143,1,0,0,82.8281285714286,71.9779571428572,23.6727428571429,25.8550428571429,1.0,,,,,1603
2023-11-26,202348,0.0,0,0,0,0.0,0.0,0,1,420540720234820060,2024-12-03,Florianópolis,,0.0,574200,20.8559714285714,91.9993714285714,0,0,0,84.8262285714286,76.0377428571429,22.6796428571429,24.9720571428571,0.0,,,,,1603
2023-11-19,202347,2.0,2,2,2,0.6642953,0.34831068,0,1,420540720234720056,2024-11-29,Florianópolis,,1.5125449,574200,20.4929857142857,86.5991428571429,1,0,0,76.9156,62.6394714285714,22.4566142857143,25.1039714285714,0.0,,,,,1603
2023-11-12,202346,3.0,3,3,3,0.8725398,0.52246606,0,1,420540720234620046,2024-11-19,Florianópolis,,2.957066,574200,21.1431,96.4697428571429,1,0,0,90.7889857142857,83.5865142857143,22.4897142857143,24.5178,1.0,,,,,1603
2023-11-05,202345,0.0,0,0,0,0.0,0.0,0,1,420540720234520039,2024-11-12,Florianópolis,,0.0,574200,17.9184571428571,86.9034285714286,0,0,0,76.2329571428571,62.3707571428571,20.5884714285714,24.2641714285714,0.0,,,,,1603
2023-10-29,202344,2.0,2,2,2,0.8091356,0.34831068,0,1,420540720234420032,2024-11-05,Florianópolis,,2.5597956,574200,18.9765285714286,93.0798714285714,0,0,0,84.9930142857143,73.8000142857143,20.6566142857143,23.1639142857143,0.0,,,,,1603
