data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,municipio_nome,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year
2025-12-28,202553,3.0,3,3,3,0.4759501,0.52246606,0,1,420540720255320544,2026-04-01,Florianópolis,,0.95554906,574200,23.4462571428571,95.4070142857143,1,0,0,86.5112142857143,73.4740142857143,25.3818142857143,28.1113714285714,3,,,,,996
2025-12-21,202552,0.0,0,0,0,0.0,0.0,0,1,420540720255220544,2026-04-01,Florianópolis,,0.0,574200,23.6512142857143,94.9630714285714,0,0,0,84.6727428571429,70.0591285714286,26.0649714285714,29.5484,0,,,,,996
2025-12-14,202551,4.0,4,4,4,0.24066752,0.69662136,0,2,420540720255120544,2026-04-01,Florianópolis,,0.65126705,574200,20.6962714285714,87.9356142857143,1,0,0,75.9229428571429,63.0220428571429,23.1575571428571,25.7845857142857,3,,,,,996
2025-12-07,202550,4.0,4,4,4,0.231402,0.69662136,0,1,420540720255020544,2026-04-01,Florianópolis,,0.64052767,574200,21.5310571428571,91.4494,1,0,0,79.3881142857143,64.5573142857143,23.7586857142857,27.0390714285714,1,,,,,996
2025-11-30,202549,7.0,7,7,7,0.74610335,1.2190875,0,1,420540720254920544,2026-04-01,Florianópolis,,1.4550618,574200,20.0037857142857,89.5133857142857,1,0,0,81.4907,71.2518857142857,21.8811142857143,24.4297285714286,3,,,,,996
2025-11-23,202548,8.0,8,8,8,0.9195927,1.3932427,0,1,420540720254820544,2026-04-01,Florianópolis,,2.2925968,574200,18.6810714285714,90.0356428571429,0,0,0,82.2469714285714,72.7969714285714,20.3985142857143,22.3910285714286,3,,,,,996
2025-11-16,202547,4.0,4,4,4,0.66643196,0.69662136,0,1,420540720254720544,2026-04-01,Florianópolis,,1.3621148,574200,18.6280571428571,90.1528857142857,0,0,0,78.9588714285714,64.7105571428571,20.6425428571429,22.9974285714286,1,,,,,996
2025-11-09,202546,3.0,3,3,3,0.5812532,0.52246606,0,1,420540720254620544,2026-04-01,Florianópolis,,1.175403,574200,17.4513571428571,88.0407857142857,0,0,0,76.6253,64.5369428571429,20.0142,22.7914857142857,2,,,,,996
2025-11-02,202545,3.0,3,3,3,0.61206925,0.52246606,0,1,420540720254520544,2026-04-01,Florianópolis,,1.2554629,574200,18.5538285714286,91.9514857142857,0,0,0,81.8853571428571,66.8178142857143,20.4521142857143,23.5977142857143,1,,,,,996
2025-10-26,202544,3.0,3,3,3,0.53250754,0.52246606,0,1,420540720254420544,2026-04-01,Florianópolis,,1.0649614,574200,18.0660142857143,92.5859285714286,0,0,0,86.5769571428571,79.7266,19.2528,20.7682571428571,2,,,,,996
2025-10-19,202543,1.0,1,1,1,0.094883755,0.17415534,0,1,420540720254320544,2026-04-01,Florianópolis,,0.29431716,574200,17.3372571428571,77.9116,0,0,0,70.8315714285714,62.3375428571429,18.9092142857143,20.7904428571429,0,,,,,996
